Property_ID,Neighborhood,Property_Type,Bedrooms,Bathrooms,Square_Footage,Year_Built,Listing_Price,Days_On_Market
PROP-1000,Suburbs,Condo,3.0,2.0,-1069.0,1982.0, 344096 ,
PROP-1001,Westbay,SFH,4.0,2.0,-1825.0,1820.0,"$477,071.85",46.05294823648923
PROP-1002,North End,Single Family,2.0,1.5,1177.0,1968.0,420665.0,58.46075468951488
PROP-1003,suburbs,Single Family,3.0,1.0,1578.0,2020.0,"$502,581",53.513067228683575
PROP-1004,Downtown,single family,3.0,2.0,8331.0,2006.0,"$547,868.55",40.11980197195135
PROP-1005,Downtown,single family,4.0,1.5,1838.0,1968.0,"$576,037.83",20.272499497316023
PROP-1006,Downtown,Condo,5.0,2.5,2574.0,1990.0,"$772,372",143.863021808438
PROP-1007,West Bay,Condo,1.0,1.0,1414.0,1991.0,1662424.3,29.46359607295464
PROP-1008,North End,Condo,3.0,2.0,1144.0,2001.0, 359229 ,7.9313873771392585
PROP-1009,North End,condo,1.0,3.0,1612.0,1953.0,"$590,914.64",12.126098085188081
PROP-1010,Downtown,Townhouse,3.0,1.5,1438.0,1953.0,"$458,491",41.39594605610694
PROP-1011,Westbay,Condo,2.0,2.0,1354.0,1954.0,"$450,167.29",90.53802507823727
PROP-1012,West Bay,Duplex,2.0,1.0,1293.0,1990.0,405142.4,6.891196812246158
PROP-1013,downtown,Single Family,2.0,2.0,1722.0,2010.0, 480400 ,3.007739208551723
PROP-1014,Downtown,Single Family,3.0,2.0,1233.0,2004.0,"$376,638",74.65865265356932
PROP-1015,Downtown,Single Family,2.0,2.0,1975.0,1962.0,"$529,849",
PROP-1016,Suburbs,Condo,3.0,2.0,1944.0,1963.0,"$442,198",11.322079353508906
PROP-1017,Suburbs,Townhouse,3.0,3.0,1773.0,2009.0,"$532,935.02",16.578362219829554
PROP-1018,Suburbs,Single Family,1.0,1.5,1090.0,2021.0,N/A,37.77769618397031
PROP-1019,Suburbs,town house,4.0,1.0,1696.0,1974.0,"$478,827",14.013059394162942
PROP-1020,North End,Single Family,2.0,3.0,,1993.0,742916.5,73.39017237707935
PROP-1021,Downtown,town house,3.0,2.0,2021.0,1959.0,"$657,096",3.983593303517899
PROP-1022,Suburbs,Single Family,3.0,3.0,1928.0,2020.0,"$573,277.65",1.3552821504897443
PROP-1023,Suburbs,Single Family,2.0,2.0,1570.0,1999.0,445465.7,8.183279057883613
PROP-1024,Suburbs,SFH,1.0,2.5,1547.0,1993.0,"$418,513.29",11.794834200189285
PROP-1025,north end,Single Family,2.0,2.0,2288.0,1963.0,"$648,217.01",
PROP-1026,Downtown,Single Family,5.0,2.5,1713.0,1964.0,"$529,839.76",2.3781607348564897
PROP-1027,Suburbs,Single Family,3.0,3.0,1720.0,1965.0,"$519,127",49.31432146045099
PROP-1028,suburbs,Townhouse,3.0,2.0,3523.0,1951.0,"$973,145",6.281013938074405
PROP-1029,Downtown,Condo,3.0,1.5,1404.0,1979.0,"$526,159",85.83763053841378
PROP-1030,North End,Single Family,2.0,1.5,694.0,1979.0, 323909 ,16.060287220321076
PROP-1031,Downtown,Condo,3.0,1.5,1472.0,1980.0,"$497,422.57",38.86750345373431
PROP-1032,Downtown,Condo,4.0,1.5,1500.0,1969.0, 465808 ,8.939393471688888
PROP-1033,Westbay,Single Family,2.0,1.5,1704.0,1998.0,"$524,717.93",9.620157095304767
PROP-1034,Westbay,single family,2.0,2.0,1832.0,1984.0, 571579 ,29.92437404209636
PROP-1035,north end,Single Family,2.0,2.0,738.0,1972.0,"$298,160",28.785498495871007
PROP-1036,Suburbs,Single Family,3.0,2.0,1844.0,2010.0,"$585,504",51.24581286338458
PROP-1037,Downtown,Condo,,2.0,1530.0,2004.0,"$439,024",49.63162351621666
PROP-1038,North End,Single Family,1.0,1.0,1425.0,2016.0,"$430,522",38.8762127144438
PROP-1039,Suburbs,Condo,3.0,1.0,858.0,1957.0,,20.86901108611399
PROP-1040,Downtown,Condo,2.0,1.5,2445.0,1989.0,657845.9,77.45897665679585
PROP-1041,Suburbs,Single Family,99.0,2.0,1348.0,2008.0,,34.10374285596855
PROP-1042,Downtown,Condo,2.0,1.5,1936.0,1981.0,"$622,270.66",161.8826604750023
